Test suite file,states,inputs,outputs,transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,EventSequence_Levenshtein_AverageValue,EventSequence_Levenshtein_SquaredSummation,EventSequence_Levenshtein_Manhattan,EventSequence_Levenshtein_Euclidean,EventSequence_SimpsonDiversity_AverageValue,EventSequence_SimpsonDiversity_SquaredSummation,EventSequence_SimpsonDiversity_Manhattan,EventSequence_SimpsonDiversity_Euclidean,EventSequence_Hamming_AverageValue,EventSequence_Hamming_SquaredSummation,EventSequence_Hamming_Manhattan,EventSequence_Hamming_Euclidean,EventSequence_ShannonIndex,EventSequence_Nei,EventStatePairs_Levenshtein_AverageValue,EventStatePairs_Levenshtein_SquaredSummation,EventStatePairs_Levenshtein_Manhattan,EventStatePairs_Levenshtein_Euclidean,EventStatePairs_SimpsonDiversity_AverageValue,EventStatePairs_SimpsonDiversity_SquaredSummation,EventStatePairs_SimpsonDiversity_Manhattan,EventStatePairs_SimpsonDiversity_Euclidean,EventStatePairs_Hamming_AverageValue,EventStatePairs_Hamming_SquaredSummation,EventStatePairs_Hamming_Manhattan,EventStatePairs_Hamming_Euclidean,EventStatePairs_ShannonIndex,EventStatePairs_Nei,StateSequence_Levenshtein_AverageValue,StateSequence_Levenshtein_SquaredSummation,StateSequence_Levenshtein_Manhattan,StateSequence_Levenshtein_Euclidean,StateSequence_SimpsonDiversity_AverageValue,StateSequence_SimpsonDiversity_SquaredSummation,StateSequence_SimpsonDiversity_Manhattan,StateSequence_SimpsonDiversity_Euclidean,StateSequence_Hamming_AverageValue,StateSequence_Hamming_SquaredSummation,StateSequence_Hamming_Manhattan,StateSequence_Hamming_Euclidean,StateSequence_ShannonIndex,StateSequence_Nei
TR_TestSuite209.txt,10,8,4,80,2738,1822,0.66544926,0.707840071,0.706388763,0.707865169,0.713968764,0.620233051,0.617691609,0.620233051,0.620233051,0.760919895,0.794736842,0.760869565,0.802362192,0.517065834,0.754892824,0.772459382,0.768087855,0.772435897,0.772477625,0.673636364,0.6724846,0.673636364,0.673636364,0.772712603,0.800236407,0.772727273,0.807529667,0.400692253,0.767525269,0.805522002,0.801736614,0.805555556,0.805569549,0.736784141,0.735910878,0.736784141,0.736784141,0.804831587,0.823492462,0.804878049,0.830176343,0.671454628,0.805057956
TR_TestSuite49.txt,10,8,4,80,2738,1822,0.66544926,0.604478445,0.604893521,0.604494382,0.61369309,0.392478814,0.389881854,0.392478814,0.392478814,0.78260534,0.807017544,0.782608696,0.814290047,0.335705195,0.778502641,0.817298503,0.815891473,0.817307692,0.819585548,0.717272727,0.716119097,0.717272727,0.717272727,0.818218493,0.825059102,0.818181818,0.831630122,0.530896875,0.817085099,0.805522002,0.801736614,0.805555556,0.805569549,0.736784141,0.735910878,0.736784141,0.736784141,0.804831587,0.823492462,0.804878049,0.830176343,0.671454628,0.805057956
TR_TestSuite681.txt,10,8,4,80,2738,1822,0.66544926,0.604478445,0.603081106,0.604494382,0.61189541,0.556673729,0.554377461,0.556673729,0.556673729,0.630421361,0.647368421,0.630434783,0.658186891,0.424158278,0.613855235,0.839757885,0.839793282,0.83974359,0.843098499,0.739090909,0.737679671,0.739090909,0.739090909,0.840971438,0.837470449,0.840909091,0.843659588,0.604601446,0.841538963,0.802070751,0.790882779,0.802083333,0.794873691,0.736784141,0.735910878,0.736784141,0.736784141,0.804831587,0.814698492,0.804878049,0.821645273,0.671454628,0.805057956
TR_TestSuite521.txt,10,8,4,80,2738,1822,0.66544926,0.714596828,0.712279112,0.714606742,0.719765097,0.658368644,0.65586186,0.658368644,0.658368644,0.804367958,0.819298246,0.804347826,0.826203565,0.585502719,0.801801802,0.839757885,0.839793282,0.83974359,0.843098499,0.739090909,0.737679671,0.739090909,0.739090909,0.840971438,0.837470449,0.840909091,0.843659588,0.604601446,0.841538963,0.802070751,0.790882779,0.802083333,0.794873691,0.736784141,0.735910878,0.736784141,0.736784141,0.804831587,0.814698492,0.804878049,0.821645273,0.671454628,0.805057956
TR_TestSuite849.txt,10,8,4,80,2738,1822,0.66544926,0.487603306,0.48799275,0.487640449,0.497271437,0.468220339,0.46561648,0.468220339,0.468220339,0.456551937,0.478947368,0.456521739,0.490965334,0.420108759,0.452935694,0.458346607,0.454134367,0.458333333,0.460339185,0.412727273,0.411704312,0.412727273,0.412727273,0.454574794,0.475177305,0.454545455,0.486901024,0.211035325,0.450603195,0.489559965,0.49276411,0.489583333,0.498883305,0.447136564,0.445609436,0.447136564,0.447136564,0.487747857,0.497487437,0.487804878,0.509333987,0.38622891,0.487881981
TR_TestSuite693.txt,10,8,4,80,2738,1822,0.66544926,0.530321644,0.531943815,0.530337079,0.541159377,0.404661017,0.402605271,0.404661017,0.404661017,0.5,0.501169591,0.5,0.51318339,0.327201203,0.486175831,0.682701497,0.682816537,0.682692308,0.688176781,0.608181818,0.607289528,0.608181818,0.608181818,0.681862191,0.674940898,0.681818182,0.685065686,0.494553599,0.683077926,0.635375324,0.631693198,0.635416667,0.637350054,0.526431718,0.524901704,0.526431718,0.526431718,0.63416746,0.658291457,0.634146341,0.668791664,0.452576379,0.634351949
TR_TestSuite533.txt,10,8,4,80,2738,1822,0.66544926,0.640440027,0.641141821,0.640449438,0.649590356,0.506355932,0.503786731,0.506355932,0.506355932,0.673946597,0.673099415,0.673913043,0.683501602,0.488545644,0.674433054,0.682701497,0.682816537,0.682692308,0.688176781,0.608181818,0.607289528,0.608181818,0.608181818,0.681862191,0.674940898,0.681818182,0.685065686,0.494553599,0.683077926,0.635375324,0.631693198,0.635416667,0.637350054,0.526431718,0.524901704,0.526431718,0.526431718,0.63416746,0.658291457,0.634146341,0.668791664,0.452576379,0.634351949
TR_TestSuite853.txt,10,8,4,80,2738,1822,0.66544926,0.507873576,0.50838242,0.507865169,0.517650309,0.455508475,0.452893063,0.455508475,0.455508475,0.478314555,0.49122807,0.47826087,0.503249392,0.388059701,0.476545511,0.480805989,0.478036176,0.480769231,0.484273503,0.434545455,0.433264887,0.434545455,0.434545455,0.477247055,0.487588652,0.477272727,0.499319913,0.284739896,0.475383111,0.489559965,0.49276411,0.489583333,0.498883305,0.447136564,0.445609436,0.447136564,0.447136564,0.487747857,0.497487437,0.487804878,0.509333987,0.38622891,0.487881981
TR_TestSuite41.txt,10,8,4,80,2738,1822,0.66544926,0.478668751,0.479836883,0.478651685,0.489111711,0.35434322,0.352014541,0.35434322,0.35434322,0.630421361,0.648538012,0.630434783,0.659339314,0.287920861,0.627524076,0.682701497,0.682816537,0.682692308,0.688176781,0.564545455,0.563655031,0.564545455,0.564545455,0.681862191,0.674940898,0.681818182,0.685065686,0.456479691,0.683077926,0.631924072,0.617945007,0.631944444,0.623690097,0.579295154,0.577326343,0.579295154,0.579295154,0.63416746,0.649497487,0.634146341,0.660132818,0.507979936,0.634351949
TR_TestSuite529.txt,10,8,4,80,2738,1822,0.66544926,0.620225597,0.620752152,0.620224719,0.629409262,0.519067797,0.51620721,0.519067797,0.519067797,0.652183979,0.660818713,0.652173913,0.671427075,0.520652551,0.650823237,0.660242115,0.658914729,0.66025641,0.664483704,0.586363636,0.585215606,0.586363636,0.586363636,0.659109246,0.662529551,0.659090909,0.672858903,0.420849028,0.658624063,0.635375324,0.631693198,0.635416667,0.637350054,0.526431718,0.524901704,0.526431718,0.526431718,0.63416746,0.658291457,0.634146341,0.668791664,0.452576379,0.634351949
