Test suite file,states,inputs,outputs,transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,EventSequence_Levenshtein_AverageValue,EventSequence_Levenshtein_SquaredSummation,EventSequence_Levenshtein_Manhattan,EventSequence_Levenshtein_Euclidean,EventSequence_SimpsonDiversity_AverageValue,EventSequence_SimpsonDiversity_SquaredSummation,EventSequence_SimpsonDiversity_Manhattan,EventSequence_SimpsonDiversity_Euclidean,EventSequence_Hamming_AverageValue,EventSequence_Hamming_SquaredSummation,EventSequence_Hamming_Manhattan,EventSequence_Hamming_Euclidean,EventSequence_ShannonIndex,EventSequence_Nei,EventStatePairs_Levenshtein_AverageValue,EventStatePairs_Levenshtein_SquaredSummation,EventStatePairs_Levenshtein_Manhattan,EventStatePairs_Levenshtein_Euclidean,EventStatePairs_SimpsonDiversity_AverageValue,EventStatePairs_SimpsonDiversity_SquaredSummation,EventStatePairs_SimpsonDiversity_Manhattan,EventStatePairs_SimpsonDiversity_Euclidean,EventStatePairs_Hamming_AverageValue,EventStatePairs_Hamming_SquaredSummation,EventStatePairs_Hamming_Manhattan,EventStatePairs_Hamming_Euclidean,EventStatePairs_ShannonIndex,EventStatePairs_Nei,StateSequence_Levenshtein_AverageValue,StateSequence_Levenshtein_SquaredSummation,StateSequence_Levenshtein_Manhattan,StateSequence_Levenshtein_Euclidean,StateSequence_SimpsonDiversity_AverageValue,StateSequence_SimpsonDiversity_SquaredSummation,StateSequence_SimpsonDiversity_Manhattan,StateSequence_SimpsonDiversity_Euclidean,StateSequence_Hamming_AverageValue,StateSequence_Hamming_SquaredSummation,StateSequence_Hamming_Manhattan,StateSequence_Hamming_Euclidean,StateSequence_ShannonIndex,StateSequence_Nei
TR_TestSuite689.txt,10,8,4,80,2738,1822,0.66544926,2.35815,14912,5860,122.1147,0.87258,0.7614,0.87258,0.87258,1.80926,8892,4496,94.2974,2.65932,0.65281,2.43018,15751,6039,125.50299,0.88648,0.78585,0.88648,0.88648,1.84668,9309,4589,96.48316,3.10069,0.66743,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
TR_TestSuite841.txt,10,8,4,80,2738,1822,0.66544926,2.35131,14823,5843,121.74974,0.8745,0.76474,0.8745,0.8745,1.80644,8875,4489,94.20722,2.67249,0.65249,2.40765,15471,5983,124.38247,0.88457,0.78247,0.88457,0.88457,1.82414,9013,4533,94.93682,3.08504,0.66181,2.26801,14096,5636,118.72658,0.8399,0.70543,0.8399,0.8399,1.73078,8397,4301,91.63515,2.08139,0.61982
TR_TestSuite53.txt,10,8,4,80,2738,1822,0.66544926,2.37867,15163,5911,123.13813,0.87187,0.76015,0.87187,0.87187,1.85151,9457,4601,97.24711,2.6497,0.66372,2.45272,16031,6095,126.61359,0.88816,0.78882,0.88816,0.88816,1.86922,9605,4645,98.0051,3.11874,0.67304,2.30503,14540,5728,120.58192,0.84229,0.70946,0.84229,0.84229,1.7674,8930,4392,94.49868,2.0925,0.62885
TR_TestSuite1016.txt,10,8,4,80,2738,1822,0.66544926,2.27002,13833,5641,117.61377,0.869,0.75516,0.869,0.869,1.75292,8098,4356,89.98889,2.64564,0.63942,2.35412,14816,5850,121.72099,0.88051,0.77529,0.88051,0.88051,1.77062,8230,4400,90.71935,3.07214,0.64874,2.21167,13432,5496,115.89651,0.8356,0.69823,0.8356,0.8356,1.67445,7619,4161,87.28688,2.06305,0.60593
TR_TestSuite213.txt,10,8,4,80,2738,1822,0.66544926,2.39718,15387,5957,124.04435,0.87617,0.76767,0.87617,0.87617,1.84869,9436,4594,97.13908,2.68105,0.66297,2.44708,15957,6081,126.32102,0.88768,0.78797,0.88768,0.88768,1.86358,9563,4631,97.79059,3.10596,0.67153,2.30503,14540,5728,120.58192,0.84229,0.70946,0.84229,0.84229,1.7674,8930,4392,94.49868,2.0925,0.62885
TR_TestSuite201.txt,10,8,4,80,2738,1822,0.66544926,2.37103,15066,5892,122.74364,0.87569,0.76684,0.87569,0.87569,1.82616,9144,4538,95.62426,2.67834,0.65735,2.42736,15714,6032,125.35549,0.88577,0.78458,0.88577,0.88577,1.84386,9288,4582,96.37427,3.0914,0.66667,2.28491,14286,5678,119.52406,0.84086,0.70704,0.84086,0.84086,1.74769,8653,4343,93.0215,2.08533,0.62399
TR_TestSuite9.txt,10,8,4,80,2738,1824,0.6661797,2.39477,15357,5951,123.92336,0.87665,0.76851,0.87665,0.87665,1.84869,9436,4594,97.13908,2.69571,0.66297,2.4499,15994,6088,126.46739,0.88744,0.78755,0.88744,0.88744,1.8664,9584,4638,97.89791,3.1085,0.67229,2.30262,14506,5722,120.44086,0.84158,0.70825,0.84158,0.84158,1.76459,8925,4385,94.47222,2.08914,0.62815
TR_TestSuite208.txt,10,8,4,80,2738,1824,0.6661797,2.39598,15376,5954,124,0.87665,0.76851,0.87665,0.87665,1.84869,9436,4594,97.13908,2.69214,0.66297,2.44427,15920,6074,126.17448,0.88744,0.78755,0.88744,0.88744,1.86076,9542,4624,97.68316,3.09871,0.67077,2.30503,14540,5728,120.58192,0.84229,0.70946,0.84229,0.84229,1.7674,8930,4392,94.49868,2.0925,0.62885
TR_TestSuite169.txt,10,8,4,80,2738,1824,0.6661797,2.4165,15619,6005,124.976,0.87928,0.77313,0.87928,0.87928,1.84588,9415,4587,97.03092,2.7185,0.66221,2.44427,15920,6074,126.17448,0.88696,0.7867,0.88696,0.88696,1.86076,9542,4624,97.68316,3.09571,0.67077,2.30262,14506,5722,120.44086,0.84158,0.70825,0.84158,0.84158,1.76459,8925,4385,94.47222,2.08914,0.62815
TR_TestSuite13.txt,10,8,4,80,2738,1824,0.6661797,2.39839,15402,5960,124.10479,0.87641,0.76809,0.87641,0.87641,1.85151,9457,4601,97.24711,2.69017,0.66372,2.45272,16031,6095,126.61359,0.88768,0.78797,0.88768,0.88768,1.86922,9605,4645,98.0051,3.11574,0.67304,2.30262,14506,5722,120.44086,0.84158,0.70825,0.84158,0.84158,1.76459,8925,4385,94.47222,2.08914,0.62815
