Test suite file,states,inputs,outputs,transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,EventSequence_Levenshtein_AverageValue,EventSequence_Levenshtein_SquaredSummation,EventSequence_Levenshtein_Manhattan,EventSequence_Levenshtein_Euclidean,EventSequence_SimpsonDiversity_AverageValue,EventSequence_SimpsonDiversity_SquaredSummation,EventSequence_SimpsonDiversity_Manhattan,EventSequence_SimpsonDiversity_Euclidean,EventSequence_Hamming_AverageValue,EventSequence_Hamming_SquaredSummation,EventSequence_Hamming_Manhattan,EventSequence_Hamming_Euclidean,EventSequence_ShannonIndex,EventSequence_Nei,EventStatePairs_Levenshtein_AverageValue,EventStatePairs_Levenshtein_SquaredSummation,EventStatePairs_Levenshtein_Manhattan,EventStatePairs_Levenshtein_Euclidean,EventStatePairs_SimpsonDiversity_AverageValue,EventStatePairs_SimpsonDiversity_SquaredSummation,EventStatePairs_SimpsonDiversity_Manhattan,EventStatePairs_SimpsonDiversity_Euclidean,EventStatePairs_Hamming_AverageValue,EventStatePairs_Hamming_SquaredSummation,EventStatePairs_Hamming_Manhattan,EventStatePairs_Hamming_Euclidean,EventStatePairs_ShannonIndex,EventStatePairs_Nei,StateSequence_Levenshtein_AverageValue,StateSequence_Levenshtein_SquaredSummation,StateSequence_Levenshtein_Manhattan,StateSequence_Levenshtein_Euclidean,StateSequence_SimpsonDiversity_AverageValue,StateSequence_SimpsonDiversity_SquaredSummation,StateSequence_SimpsonDiversity_Manhattan,StateSequence_SimpsonDiversity_Euclidean,StateSequence_Hamming_AverageValue,StateSequence_Hamming_SquaredSummation,StateSequence_Hamming_Manhattan,StateSequence_Hamming_Euclidean,StateSequence_ShannonIndex,StateSequence_Nei
TR_TestSuite21.txt,10,4,4,40,1218,824,0.67651886,0.675631519,0.700440529,0.675675676,0.703513109,0.574515235,0.571841851,0.574515235,0.574515235,0.599969002,0.494736842,0.6,0.500186718,0.457835289,0.585332419,0.642916459,0.731182796,0.642857143,0.733423721,0.786245353,0.784599376,0.786245353,0.786245353,0.666724079,0.545454545,0.666666667,0.550639115,0.730203046,0.636672326,0.656349898,0.752525253,0.65625,0.755027959,0.45443787,0.453212291,0.45443787,0.45443787,0.636414882,0.548913043,0.636363636,0.554386486,0.332087693,0.612473721
TR_TestSuite20.txt,10,4,4,40,1218,824,0.67651886,0.621591052,0.629955947,0.621621622,0.633376719,0.893628809,0.892639023,0.893628809,0.893628809,0.599969002,0.494736842,0.6,0.500186718,0.774865665,0.585332419,0.678624813,0.768817204,0.678571429,0.770845745,0.42936803,0.427679501,0.42936803,0.42936803,0.666724079,0.545454545,0.666666667,0.550639115,0.239593909,0.636672326,0.656349898,0.752525253,0.65625,0.755027959,0.45443787,0.453212291,0.45443787,0.45443787,0.636414882,0.548913043,0.636363636,0.554386486,0.332087693,0.612473721
TR_TestSuite24.txt,10,4,4,40,1218,824,0.67651886,0.891793389,0.850220264,0.891891892,0.852076475,0.978947368,0.978463517,0.978947368,0.978947368,0.900030998,0.773684211,0.9,0.777457301,0.930365172,0.87868403,1,1,1,1,0.643122677,0.642039542,0.643122677,0.643122677,1,0.860962567,1,0.863436568,0.509137056,1,0.937518163,1,0.9375,1,0.726627219,0.726256983,0.726627219,0.726627219,0.90910372,0.913043478,0.909090909,0.914771883,0.727204783,0.912403644
TR_TestSuite25.txt,10,4,4,40,1218,824,0.67651886,0.891793389,0.850220264,0.891891892,0.852076475,0.978947368,0.978463517,0.978947368,0.978947368,0.900030998,0.773684211,0.9,0.777457301,0.930365172,0.87868403,0.964291646,0.962365591,0.964285714,0.962776557,1,1,1,1,1,0.860962567,1,0.863436568,1,1,0.937518163,1,0.9375,1,0.726627219,0.726256983,0.726627219,0.726627219,0.90910372,0.913043478,0.909090909,0.914771883,0.727204783,0.912403644
TR_TestSuite33.txt,10,4,4,40,1218,824,0.67651886,0.837752922,0.806167401,0.837837838,0.80845246,1,1,1,1,0.900030998,0.773684211,0.9,0.777457301,1,0.87868403,0.964291646,0.962365591,0.964285714,0.962776557,1,1,1,1,1,0.860962567,1,0.863436568,1,1,0.937518163,1,0.9375,1,0.726627219,0.726256983,0.726627219,0.726627219,0.90910372,0.913043478,0.909090909,0.914771883,0.727204783,0.912403644
TR_TestSuite32.txt,10,4,4,40,1218,824,0.67651886,0.837752922,0.806167401,0.837837838,0.80845246,1,1,1,1,0.900030998,0.773684211,0.9,0.777457301,1,0.87868403,1,1,1,1,0.643122677,0.642039542,0.643122677,0.643122677,1,0.860962567,1,0.863436568,0.509137056,1,0.937518163,1,0.9375,1,0.726627219,0.726256983,0.726627219,0.726627219,0.90910372,0.913043478,0.909090909,0.914771883,0.727204783,0.912403644
TR_TestSuite28.txt,10,4,4,40,1218,826,0.6781609,0.837752922,0.832599119,0.837837838,0.834636713,1,1,1,1,1,0.852631579,1,0.855328328,1,1,1,1,1,1,0.643122677,0.642039542,0.643122677,0.643122677,1,0.860962567,1,0.863436568,0.509137056,1,0.937518163,1,0.9375,1,0.726627219,0.726256983,0.726627219,0.726627219,0.90910372,0.913043478,0.909090909,0.914771883,0.727204783,0.912403644
TR_TestSuite29.txt,10,4,4,40,1218,826,0.6781609,0.837752922,0.832599119,0.837837838,0.834636713,1,1,1,1,1,0.852631579,1,0.855328328,1,1,0.964291646,0.962365591,0.964285714,0.962776557,1,1,1,1,1,0.860962567,1,0.863436568,1,1,0.937518163,1,0.9375,1,0.726627219,0.726256983,0.726627219,0.726627219,0.90910372,0.913043478,0.909090909,0.914771883,0.727204783,0.912403644
TR_TestSuite12.txt,10,4,4,40,1218,826,0.6781609,0.351263039,0.233480176,0.351351351,0.236139518,0.893628809,0.892639023,0.893628809,0.893628809,0.300061996,0.247368421,0.3,0.251474086,0.930145849,0.365318711,0.357083541,0.268817204,0.357142857,0.271081986,0.215613383,0.213319459,0.215613383,0.215613383,0.333275921,0.315508021,0.333333333,0.320067701,0.269543147,0.36417657,0.281313572,0.247474747,0.28125,0.25001375,0.272189349,0.271648045,0.272189349,0.272189349,0.272688839,0.364130435,0.272727273,0.369287165,0.394867962,0.299929923
TR_TestSuite13.txt,10,4,4,40,1218,826,0.6781609,0.351263039,0.233480176,0.351351351,0.236139518,0.893628809,0.892639023,0.893628809,0.893628809,0.300061996,0.247368421,0.3,0.251474086,0.930145849,0.365318711,0.321375187,0.231182796,0.321428571,0.233235413,0.643122677,0.642039542,0.643122677,0.643122677,0.333275921,0.315508021,0.333333333,0.320067701,0.794416244,0.36417657,0.281313572,0.247474747,0.28125,0.25001375,0.272189349,0.271648045,0.272189349,0.272189349,0.272688839,0.364130435,0.272727273,0.369287165,0.394867962,0.299929923
TR_TestSuite1.txt,10,4,4,40,1218,826,0.6781609,0.189141636,0.145374449,0.189189189,0.147223529,0.404432133,0.401800064,0.404432133,0.404432133,0,0,0,0,0.353547538,0.071967101,0,0,0,0,0.42936803,0.427679501,0.42936803,0.42936803,0,0,0,0,0.524619289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR_TestSuite0.txt,10,4,4,40,1218,826,0.6781609,0.135101169,0.074889868,0.135135135,0.0759223,0.787257618,0.785278046,0.787257618,0.787257618,0,0,0,0,0.705011514,0.071967101,0.035708354,0.037634409,0.035714286,0.038058848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR_TestSuite4.txt,10,4,4,40,1218,826,0.6781609,0.405303506,0.27753304,0.405405405,0.280507279,0.872576177,0.871102539,0.872576177,0.872576177,0.300061996,0.247368421,0.3,0.251474086,0.860511021,0.365318711,0.357083541,0.268817204,0.357142857,0.271081986,0.215613383,0.213319459,0.215613383,0.215613383,0.333275921,0.315508021,0.333333333,0.320067701,0.269543147,0.36417657,0.281313572,0.247474747,0.28125,0.25001375,0.272189349,0.271648045,0.272189349,0.272189349,0.272688839,0.364130435,0.272727273,0.369287165,0.394867962,0.299929923
TR_TestSuite5.txt,10,4,4,40,1218,826,0.6781609,0.405303506,0.27753304,0.405405405,0.280507279,0.872576177,0.871102539,0.872576177,0.872576177,0.300061996,0.247368421,0.3,0.251474086,0.860511021,0.365318711,0.321375187,0.231182796,0.321428571,0.233235413,0.643122677,0.642039542,0.643122677,0.643122677,0.333275921,0.315508021,0.333333333,0.320067701,0.794416244,0.36417657,0.281313572,0.247474747,0.28125,0.25001375,0.272189349,0.271648045,0.272189349,0.272189349,0.272688839,0.364130435,0.272727273,0.369287165,0.394867962,0.299929923
TR_TestSuite8.txt,10,4,4,40,1218,828,0.67980295,0,0,0,0,0.829916898,0.828351013,0.829916898,0.829916898,0.400030998,0.326315789,0.4,0.331143497,0.761158022,0.486634681,0.357083541,0.268817204,0.357142857,0.271081986,0.215613383,0.213319459,0.215613383,0.215613383,0.333275921,0.315508021,0.333333333,0.320067701,0.269543147,0.36417657,0.281313572,0.247474747,0.28125,0.25001375,0.272189349,0.271648045,0.272189349,0.272189349,0.272688839,0.364130435,0.272727273,0.369287165,0.394867962,0.299929923
