Test suite file,states,inputs,outputs,transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,EventSequence_Levenshtein_AverageValue,EventSequence_Levenshtein_SquaredSummation,EventSequence_Levenshtein_Manhattan,EventSequence_Levenshtein_Euclidean,EventSequence_SimpsonDiversity_AverageValue,EventSequence_SimpsonDiversity_SquaredSummation,EventSequence_SimpsonDiversity_Manhattan,EventSequence_SimpsonDiversity_Euclidean,EventSequence_Hamming_AverageValue,EventSequence_Hamming_SquaredSummation,EventSequence_Hamming_Manhattan,EventSequence_Hamming_Euclidean,EventSequence_ShannonIndex,EventSequence_Nei,EventStatePairs_Levenshtein_AverageValue,EventStatePairs_Levenshtein_SquaredSummation,EventStatePairs_Levenshtein_Manhattan,EventStatePairs_Levenshtein_Euclidean,EventStatePairs_SimpsonDiversity_AverageValue,EventStatePairs_SimpsonDiversity_SquaredSummation,EventStatePairs_SimpsonDiversity_Manhattan,EventStatePairs_SimpsonDiversity_Euclidean,EventStatePairs_Hamming_AverageValue,EventStatePairs_Hamming_SquaredSummation,EventStatePairs_Hamming_Manhattan,EventStatePairs_Hamming_Euclidean,EventStatePairs_ShannonIndex,EventStatePairs_Nei,StateSequence_Levenshtein_AverageValue,StateSequence_Levenshtein_SquaredSummation,StateSequence_Levenshtein_Manhattan,StateSequence_Levenshtein_Euclidean,StateSequence_SimpsonDiversity_AverageValue,StateSequence_SimpsonDiversity_SquaredSummation,StateSequence_SimpsonDiversity_Manhattan,StateSequence_SimpsonDiversity_Euclidean,StateSequence_Hamming_AverageValue,StateSequence_Hamming_SquaredSummation,StateSequence_Hamming_Manhattan,StateSequence_Hamming_Euclidean,StateSequence_ShannonIndex,StateSequence_Nei
TR_TestSuite95.txt,10,10,4,64,3762,1613,0.4287613,2.36094,8982,3506,94.77341,0.86695,0.75161,0.86695,0.86695,1.95017,6474,2896,80.46117,2.57959,0.58636,2.38788,9140,3546,95.60335,0.8851,0.7834,0.8851,0.8851,1.96902,6578,2924,81.10487,2.97445,0.59366,2.22896,8210,3310,90.60905,0.84329,0.71114,0.84329,0.84329,1.8303,6028,2718,77.6402,2.06857,0.5487
TR_TestSuite94.txt,10,10,4,64,3762,1613,0.4287613,2.36229,8992,3508,94.82616,0.86526,0.74867,0.86526,0.86526,1.95017,6474,2896,80.46117,2.5568,0.58636,2.38788,9140,3546,95.60335,0.8851,0.7834,0.8851,0.8851,1.96902,6578,2924,81.10487,2.97445,0.59366,2.22896,8210,3310,90.60905,0.84329,0.71114,0.84329,0.84329,1.8303,6028,2718,77.6402,2.06857,0.5487
TR_TestSuite93.txt,10,10,4,64,3762,1613,0.4287613,2.36094,8982,3506,94.77341,0.86695,0.75161,0.86695,0.86695,1.95017,6474,2896,80.46117,2.57959,0.58636,2.38788,9140,3546,95.60335,0.8851,0.7834,0.8851,0.8851,1.96902,6578,2924,81.10487,2.97445,0.59366,2.22896,8210,3310,90.60905,0.84329,0.71114,0.84329,0.84329,1.8303,6028,2718,77.6402,2.06857,0.5487
TR_TestSuite22.txt,10,10,4,64,3762,1613,0.4287613,2.39529,9219,3557,96.01562,0.86987,0.75668,0.86987,0.86987,1.98316,6751,2945,82.16447,2.57222,0.59446,2.42088,9381,3595,96.85556,0.88741,0.78749,0.88741,0.88741,2.00202,6869,2973,82.87943,2.98371,0.60175,2.25657,8421,3351,91.76601,0.84461,0.71337,0.84461,0.84461,1.85387,6321,2753,79.50472,2.07305,0.55449
TR_TestSuite23.txt,10,10,4,64,3762,1613,0.4287613,2.39394,9209,3555,95.96353,0.87223,0.76079,0.87223,0.87223,1.98316,6751,2945,82.16447,2.59793,0.59446,2.42088,9381,3595,96.85556,0.88741,0.78749,0.88741,0.88741,2.00202,6869,2973,82.87943,2.98371,0.60175,2.25657,8421,3351,91.76601,0.84461,0.71337,0.84461,0.84461,1.85387,6321,2753,79.50472,2.07305,0.55449
TR_TestSuite21.txt,10,10,4,64,3762,1613,0.4287613,2.39394,9209,3555,95.96353,0.87223,0.76079,0.87223,0.87223,1.98316,6751,2945,82.16447,2.59793,0.59446,2.42088,9381,3595,96.85556,0.88741,0.78749,0.88741,0.88741,2.00202,6869,2973,82.87943,2.98371,0.60175,2.25657,8421,3351,91.76601,0.84461,0.71337,0.84461,0.84461,1.85387,6321,2753,79.50472,2.07305,0.55449
TR_TestSuite59.txt,10,10,4,64,3762,1615,0.42929292,2.47475,9807,3675,99.0303,0.87652,0.76829,0.87652,0.87652,2.0633,7308,3064,85.48684,2.62142,0.61404,2.50572,10019,3721,100.09495,0.89335,0.79807,0.89335,0.89335,2.08687,7453,3099,86.33076,3.04259,0.62258,2.3468,9061,3485,95.18929,0.85055,0.72344,0.85055,0.85055,1.94815,6877,2893,82.92768,2.10754,0.57763
TR_TestSuite58.txt,10,10,4,64,3762,1615,0.42929292,2.47609,9817,3677,99.08078,0.87482,0.76532,0.87482,0.87482,2.0633,7308,3064,85.48684,2.59863,0.61404,2.50572,10019,3721,100.09495,0.89335,0.79807,0.89335,0.89335,2.08687,7453,3099,86.33076,3.04259,0.62258,2.3468,9061,3485,95.18929,0.85055,0.72344,0.85055,0.85055,1.94815,6877,2893,82.92768,2.10754,0.57763
TR_TestSuite57.txt,10,10,4,64,3762,1615,0.42929292,2.47475,9807,3675,99.0303,0.87652,0.76829,0.87652,0.87652,2.0633,7308,3064,85.48684,2.62142,0.61404,2.50572,10019,3721,100.09495,0.89335,0.79807,0.89335,0.89335,2.08687,7453,3099,86.33076,3.04259,0.62258,2.3468,9061,3485,95.18929,0.85055,0.72344,0.85055,0.85055,1.94815,6877,2893,82.92768,2.10754,0.57763
TR_TestSuite39.txt,10,10,4,64,3762,1617,0.42982456,2.39394,9209,3555,95.96353,0.87223,0.76079,0.87223,0.87223,1.98316,6751,2945,82.16447,2.59793,0.59446,2.42088,9381,3595,96.85556,0.88741,0.78749,0.88741,0.88741,2.00202,6869,2973,82.87943,2.98371,0.60175,2.25657,8421,3351,91.76601,0.84461,0.71337,0.84461,0.84461,1.85387,6321,2753,79.50472,2.07305,0.55449
TR_TestSuite75.txt,10,10,4,64,3762,1617,0.42982456,2.36162,8987,3507,94.79979,0.86662,0.75103,0.86662,0.86662,1.95017,6474,2896,80.46117,2.57108,0.58636,2.38788,9140,3546,95.60335,0.8851,0.7834,0.8851,0.8851,1.96902,6578,2924,81.10487,2.97445,0.59366,2.22896,8210,3310,90.60905,0.84329,0.71114,0.84329,0.84329,1.8303,6028,2718,77.6402,2.06857,0.5487
TR_TestSuite77.txt,10,10,4,64,3762,1617,0.42982456,2.36162,8987,3507,94.79979,0.86662,0.75103,0.86662,0.86662,1.95017,6474,2896,80.46117,2.57108,0.58636,2.38788,9140,3546,95.60335,0.8851,0.7834,0.8851,0.8851,1.96902,6578,2924,81.10487,2.97445,0.59366,2.22896,8210,3310,90.60905,0.84329,0.71114,0.84329,0.84329,1.8303,6028,2718,77.6402,2.06857,0.5487
