Test case length,Covered states,Covered transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,Number of killed All_Mutants OracleState,Mutation score All_Mutants OracleState,Number of killed All_Mutants OracleOutputAndState,Mutation score All_Mutants OracleOutputAndState,Number of killed All_Mutants OracleW,Mutation score All_Mutants OracleW,Number of CIS_Mutant,Number of killed CIS_Mutant OracleOutput,Mutation score CIS_Mutant OracleOutput,Number of killed CIS_Mutant OracleState,Mutation score CIS_Mutant OracleState,Number of killed CIS_Mutant OracleOutputAndState,Mutation score CIS_Mutant OracleOutputAndState,Number of killed CIS_Mutant OracleW,Mutation score CIS_Mutant OracleW,Number of CI_Mutant,Number of killed CI_Mutant OracleOutput,Mutation score CI_Mutant OracleOutput,Number of killed CI_Mutant OracleState,Mutation score CI_Mutant OracleState,Number of killed CI_Mutant OracleOutputAndState,Mutation score CI_Mutant OracleOutputAndState,Number of killed CI_Mutant OracleW,Mutation score CI_Mutant OracleW,Number of DI_Mutant,Number of killed DI_Mutant OracleOutput,Mutation score DI_Mutant OracleOutput,Number of killed DI_Mutant OracleState,Mutation score DI_Mutant OracleState,Number of killed DI_Mutant OracleOutputAndState,Mutation score DI_Mutant OracleOutputAndState,Number of killed DI_Mutant OracleW,Mutation score DI_Mutant OracleW,Number of II_Mutant,Number of killed II_Mutant OracleOutput,Mutation score II_Mutant OracleOutput,Number of killed II_Mutant OracleState,Mutation score II_Mutant OracleState,Number of killed II_Mutant OracleOutputAndState,Mutation score II_Mutant OracleOutputAndState,Number of killed II_Mutant OracleW,Mutation score II_Mutant OracleW,Number of CO_Mutant,Number of killed CO_Mutant OracleOutput,Mutation score CO_Mutant OracleOutput,Number of killed CO_Mutant OracleState,Mutation score CO_Mutant OracleState,Number of killed CO_Mutant OracleOutputAndState,Mutation score CO_Mutant OracleOutputAndState,Number of killed CO_Mutant OracleW,Mutation score CO_Mutant OracleW,Number of DO_Mutant,Number of killed DO_Mutant OracleOutput,Mutation score DO_Mutant OracleOutput,Number of killed DO_Mutant OracleState,Mutation score DO_Mutant OracleState,Number of killed DO_Mutant OracleOutputAndState,Mutation score DO_Mutant OracleOutputAndState,Number of killed DO_Mutant OracleW,Mutation score DO_Mutant OracleW,Number of IO_Mutant,Number of killed IO_Mutant OracleOutput,Mutation score IO_Mutant OracleOutput,Number of killed IO_Mutant OracleState,Mutation score IO_Mutant OracleState,Number of killed IO_Mutant OracleOutputAndState,Mutation score IO_Mutant OracleOutputAndState,Number of killed IO_Mutant OracleW,Mutation score IO_Mutant OracleW,Number of CSS_Mutant,Number of killed CSS_Mutant OracleOutput,Mutation score CSS_Mutant OracleOutput,Number of killed CSS_Mutant OracleState,Mutation score CSS_Mutant OracleState,Number of killed CSS_Mutant OracleOutputAndState,Mutation score CSS_Mutant OracleOutputAndState,Number of killed CSS_Mutant OracleW,Mutation score CSS_Mutant OracleW,Number of CES_Mutant,Number of killed CES_Mutant OracleOutput,Mutation score CES_Mutant OracleOutput,Number of killed CES_Mutant OracleState,Mutation score CES_Mutant OracleState,Number of killed CES_Mutant OracleOutputAndState,Mutation score CES_Mutant OracleOutputAndState,Number of killed CES_Mutant OracleW,Mutation score CES_Mutant OracleW,Number of RT_Mutant,Number of killed RT_Mutant OracleOutput,Mutation score RT_Mutant OracleOutput,Number of killed RT_Mutant OracleState,Mutation score RT_Mutant OracleState,Number of killed RT_Mutant OracleOutputAndState,Mutation score RT_Mutant OracleOutputAndState,Number of killed RT_Mutant OracleW,Mutation score RT_Mutant OracleW,Number of DT_Mutant,Number of killed DT_Mutant OracleOutput,Mutation score DT_Mutant OracleOutput,Number of killed DT_Mutant OracleState,Mutation score DT_Mutant OracleState,Number of killed DT_Mutant OracleOutputAndState,Mutation score DT_Mutant OracleOutputAndState,Number of killed DT_Mutant OracleW,Mutation score DT_Mutant OracleW,Number of IT_Mutant,Number of killed IT_Mutant OracleOutput,Mutation score IT_Mutant OracleOutput,Number of killed IT_Mutant OracleState,Mutation score IT_Mutant OracleState,Number of killed IT_Mutant OracleOutputAndState,Mutation score IT_Mutant OracleOutputAndState,Number of killed IT_Mutant OracleW,Mutation score IT_Mutant OracleW,Number of DS_Mutant,Number of killed DS_Mutant OracleOutput,Mutation score DS_Mutant OracleOutput,Number of killed DS_Mutant OracleState,Mutation score DS_Mutant OracleState,Number of killed DS_Mutant OracleOutputAndState,Mutation score DS_Mutant OracleOutputAndState,Number of killed DS_Mutant OracleW,Mutation score DS_Mutant OracleW,Number of IDSS_Mutant,Number of killed IDSS_Mutant OracleOutput,Mutation score IDSS_Mutant OracleOutput,Number of killed IDSS_Mutant OracleState,Mutation score IDSS_Mutant OracleState,Number of killed IDSS_Mutant OracleOutputAndState,Mutation score IDSS_Mutant OracleOutputAndState,Number of killed IDSS_Mutant OracleW,Mutation score IDSS_Mutant OracleW,Number of IDES_Mutant,Number of killed IDES_Mutant OracleOutput,Mutation score IDES_Mutant OracleOutput,Number of killed IDES_Mutant OracleState,Mutation score IDES_Mutant OracleState,Number of killed IDES_Mutant OracleOutputAndState,Mutation score IDES_Mutant OracleOutputAndState,Number of killed IDES_Mutant OracleW,Mutation score IDES_Mutant OracleW
3,3,3,4188,155,0.037010506,154,0.03677173,179,0.042741165,419,0.10004775,14,13,0.9285714,14,1,14,1,14,1,120,14,0.11666667,14,0.11666667,14,0.11666667,21,0.175,40,5,0.125,5,0.125,5,0.125,7,0.175,0,0,NaN,0,NaN,0,NaN,0,NaN,280,21,0.075,0,0,21,0.075,42,0.15,40,3,0.075,0,0,3,0.075,6,0.15,0,0,NaN,0,NaN,0,NaN,0,NaN,560,62,0.11071429,63,0.1125,64,0.114285715,134,0.23928571,560,26,0.046428572,42,0.075,42,0.075,54,0.09642857,40,5,0.125,5,0.125,5,0.125,7,0.175,40,3,0.075,3,0.075,3,0.075,6,0.15,2400,0,0,0,0,0,0,120,0.05,14,2,0.14285715,2,0.14285715,2,0.14285715,4,0.2857143,40,1,0.025,3,0.075,3,0.075,4,0.1,40,0,0,3,0.075,3,0.075,0,0
4,4,4,4188,214,0.051098377,199,0.047516715,235,0.056112703,651,0.15544413,14,14,1,14,1,14,1,14,1,120,17,0.14166667,17,0.14166667,17,0.14166667,32,0.26666668,40,5,0.125,5,0.125,5,0.125,13,0.325,0,0,NaN,0,NaN,0,NaN,0,NaN,280,28,0.1,0,0,28,0.1,56,0.2,40,4,0.1,0,0,4,0.1,8,0.2,0,0,NaN,0,NaN,0,NaN,0,NaN,560,88,0.15714286,86,0.15357143,89,0.15892857,184,0.32857144,560,41,0.073214285,56,0.1,56,0.1,72,0.12857144,40,6,0.15,5,0.125,6,0.15,12,0.3,40,4,0.1,4,0.1,4,0.1,8,0.2,2400,0,0,0,0,0,0,240,0.1,14,4,0.2857143,4,0.2857143,4,0.2857143,6,0.42857143,40,3,0.075,4,0.1,4,0.1,6,0.15,40,0,0,4,0.1,4,0.1,0,0
3,3,3,4188,162,0.038681947,141,0.03366762,183,0.043696277,421,0.10052531,14,14,1,14,1,14,1,14,1,120,14,0.11666667,14,0.11666667,14,0.11666667,21,0.175,40,5,0.125,5,0.125,5,0.125,7,0.175,0,0,NaN,0,NaN,0,NaN,0,NaN,280,21,0.075,0,0,21,0.075,42,0.15,40,3,0.075,0,0,3,0.075,6,0.15,0,0,NaN,0,NaN,0,NaN,0,NaN,560,66,0.11785714,51,0.09107143,67,0.119642854,137,0.24464285,560,26,0.046428572,42,0.075,42,0.075,50,0.08928572,40,6,0.15,5,0.125,6,0.15,11,0.275,40,3,0.075,2,0.05,3,0.075,6,0.15,2400,0,0,0,0,0,0,120,0.05,14,2,0.14285715,2,0.14285715,2,0.14285715,4,0.2857143,40,2,0.05,3,0.075,3,0.075,3,0.075,40,0,0,3,0.075,3,0.075,0,0
3,3,3,4188,164,0.039159503,159,0.037965614,184,0.043935053,602,0.14374404,14,14,1,14,1,14,1,14,1,120,14,0.11666667,14,0.11666667,14,0.11666667,27,0.225,40,5,0.125,5,0.125,5,0.125,10,0.25,0,0,NaN,0,NaN,0,NaN,0,NaN,280,21,0.075,0,0,21,0.075,49,0.175,40,3,0.075,0,0,3,0.075,7,0.175,0,0,NaN,0,NaN,0,NaN,0,NaN,560,68,0.12142857,68,0.12142857,69,0.12321428,166,0.29642856,560,27,0.048214287,42,0.075,42,0.075,63,0.1125,40,4,0.1,4,0.1,4,0.1,10,0.25,40,3,0.075,3,0.075,3,0.075,7,0.175,2400,0,0,0,0,0,0,240,0.1,14,3,0.21428572,3,0.21428572,3,0.21428572,5,0.35714287,40,2,0.05,3,0.075,3,0.075,4,0.1,40,0,0,3,0.075,3,0.075,0,0
4,4,4,4188,217,0.05181471,205,0.04894938,238,0.056829035,608,0.1451767,14,14,1,14,1,14,1,14,1,120,18,0.15,18,0.15,18,0.15,26,0.21666667,40,6,0.15,6,0.15,6,0.15,10,0.25,0,0,NaN,0,NaN,0,NaN,0,NaN,280,28,0.1,0,0,28,0.1,49,0.175,40,4,0.1,0,0,4,0.1,7,0.175,0,0,NaN,0,NaN,0,NaN,0,NaN,560,89,0.15892857,89,0.15892857,90,0.16071428,168,0.3,560,41,0.073214285,56,0.1,56,0.1,64,0.114285715,40,6,0.15,6,0.15,6,0.15,11,0.275,40,4,0.1,4,0.1,4,0.1,7,0.175,2400,0,0,0,0,0,0,240,0.1,14,4,0.2857143,4,0.2857143,4,0.2857143,7,0.5,40,3,0.075,4,0.1,4,0.1,5,0.125,40,0,0,4,0.1,4,0.1,0,0
4,4,4,4188,218,0.052053485,206,0.049188156,239,0.05706781,709,0.16929322,14,14,1,14,1,14,1,14,1,120,18,0.15,18,0.15,18,0.15,24,0.2,40,6,0.15,6,0.15,6,0.15,9,0.225,0,0,NaN,0,NaN,0,NaN,0,NaN,280,28,0.1,0,0,28,0.1,42,0.15,40,4,0.1,0,0,4,0.1,6,0.15,0,0,NaN,0,NaN,0,NaN,0,NaN,560,91,0.1625,91,0.1625,92,0.16428572,160,0.2857143,560,41,0.073214285,56,0.1,56,0.1,72,0.12857144,40,5,0.125,5,0.125,5,0.125,8,0.2,40,4,0.1,4,0.1,4,0.1,6,0.15,2400,0,0,0,0,0,0,360,0.15,14,4,0.2857143,4,0.2857143,4,0.2857143,4,0.2857143,40,3,0.075,4,0.1,4,0.1,4,0.1,40,0,0,4,0.1,4,0.1,0,0
4,4,4,4188,219,0.052292265,209,0.049904488,241,0.057545368,715,0.17072588,14,14,1,14,1,14,1,14,1,120,17,0.14166667,19,0.15833333,19,0.15833333,28,0.23333333,40,6,0.15,7,0.175,7,0.175,11,0.275,0,0,NaN,0,NaN,0,NaN,0,NaN,280,28,0.1,0,0,28,0.1,42,0.15,40,4,0.1,0,0,4,0.1,6,0.15,0,0,NaN,0,NaN,0,NaN,0,NaN,560,91,0.1625,91,0.1625,91,0.1625,158,0.28214285,560,42,0.075,56,0.1,56,0.1,70,0.125,40,6,0.15,6,0.15,6,0.15,10,0.25,40,4,0.1,4,0.1,4,0.1,6,0.15,2400,0,0,0,0,0,0,360,0.15,14,4,0.2857143,4,0.2857143,4,0.2857143,5,0.35714287,40,3,0.075,4,0.1,4,0.1,5,0.125,40,0,0,4,0.1,4,0.1,0,0
4,4,4,4188,220,0.05253104,212,0.05062082,244,0.0582617,713,0.17024833,14,14,1,14,1,14,1,14,1,120,17,0.14166667,19,0.15833333,19,0.15833333,26,0.21666667,40,6,0.15,7,0.175,7,0.175,9,0.225,0,0,NaN,0,NaN,0,NaN,0,NaN,280,28,0.1,0,0,28,0.1,42,0.15,40,4,0.1,0,0,4,0.1,6,0.15,0,0,NaN,0,NaN,0,NaN,0,NaN,560,92,0.16428572,93,0.16607143,93,0.16607143,160,0.2857143,560,41,0.073214285,56,0.1,56,0.1,70,0.125,40,7,0.175,7,0.175,7,0.175,10,0.25,40,4,0.1,4,0.1,4,0.1,6,0.15,2400,0,0,0,0,0,0,360,0.15,14,4,0.2857143,4,0.2857143,4,0.2857143,5,0.35714287,40,3,0.075,4,0.1,4,0.1,5,0.125,40,0,0,4,0.1,4,0.1,0,0
5,5,5,4188,277,0.06614136,239,0.05706781,297,0.070916906,719,0.17168099,14,14,1,14,1,14,1,14,1,120,23,0.19166666,21,0.175,23,0.19166666,25,0.20833333,40,8,0.2,8,0.2,8,0.2,10,0.25,0,0,NaN,0,NaN,0,NaN,0,NaN,280,35,0.125,0,0,35,0.125,42,0.15,40,5,0.125,0,0,5,0.125,6,0.15,0,0,NaN,0,NaN,0,NaN,0,NaN,560,115,0.20535715,101,0.18035714,115,0.20535715,160,0.2857143,560,56,0.1,70,0.125,70,0.125,78,0.13928571,40,8,0.2,7,0.175,8,0.2,10,0.25,40,5,0.125,4,0.1,5,0.125,6,0.15,2400,0,0,0,0,0,0,360,0.15,14,4,0.2857143,4,0.2857143,4,0.2857143,4,0.2857143,40,4,0.1,5,0.125,5,0.125,4,0.1,40,0,0,5,0.125,5,0.125,0,0
5,5,5,4188,274,0.06542502,254,0.060649473,294,0.07020057,714,0.1704871,14,14,1,14,1,14,1,14,1,120,23,0.19166666,23,0.19166666,23,0.19166666,26,0.21666667,40,8,0.2,8,0.2,8,0.2,10,0.25,0,0,NaN,0,NaN,0,NaN,0,NaN,280,35,0.125,0,0,35,0.125,42,0.15,40,5,0.125,0,0,5,0.125,6,0.15,0,0,NaN,0,NaN,0,NaN,0,NaN,560,112,0.2,112,0.2,112,0.2,158,0.28214285,560,56,0.1,70,0.125,70,0.125,70,0.125,40,8,0.2,8,0.2,8,0.2,12,0.3,40,5,0.125,5,0.125,5,0.125,6,0.15,2400,0,0,0,0,0,0,360,0.15,14,4,0.2857143,4,0.2857143,4,0.2857143,5,0.35714287,40,4,0.1,5,0.125,5,0.125,5,0.125,40,0,0,5,0.125,5,0.125,0,0
