Test case length,Covered states,Covered transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,Number of killed All_Mutants OracleState,Mutation score All_Mutants OracleState,Number of killed All_Mutants OracleOutputAndState,Mutation score All_Mutants OracleOutputAndState,Number of killed All_Mutants OracleW,Mutation score All_Mutants OracleW,Number of CIS_Mutant,Number of killed CIS_Mutant OracleOutput,Mutation score CIS_Mutant OracleOutput,Number of killed CIS_Mutant OracleState,Mutation score CIS_Mutant OracleState,Number of killed CIS_Mutant OracleOutputAndState,Mutation score CIS_Mutant OracleOutputAndState,Number of killed CIS_Mutant OracleW,Mutation score CIS_Mutant OracleW,Number of CI_Mutant,Number of killed CI_Mutant OracleOutput,Mutation score CI_Mutant OracleOutput,Number of killed CI_Mutant OracleState,Mutation score CI_Mutant OracleState,Number of killed CI_Mutant OracleOutputAndState,Mutation score CI_Mutant OracleOutputAndState,Number of killed CI_Mutant OracleW,Mutation score CI_Mutant OracleW,Number of DI_Mutant,Number of killed DI_Mutant OracleOutput,Mutation score DI_Mutant OracleOutput,Number of killed DI_Mutant OracleState,Mutation score DI_Mutant OracleState,Number of killed DI_Mutant OracleOutputAndState,Mutation score DI_Mutant OracleOutputAndState,Number of killed DI_Mutant OracleW,Mutation score DI_Mutant OracleW,Number of II_Mutant,Number of killed II_Mutant OracleOutput,Mutation score II_Mutant OracleOutput,Number of killed II_Mutant OracleState,Mutation score II_Mutant OracleState,Number of killed II_Mutant OracleOutputAndState,Mutation score II_Mutant OracleOutputAndState,Number of killed II_Mutant OracleW,Mutation score II_Mutant OracleW,Number of CO_Mutant,Number of killed CO_Mutant OracleOutput,Mutation score CO_Mutant OracleOutput,Number of killed CO_Mutant OracleState,Mutation score CO_Mutant OracleState,Number of killed CO_Mutant OracleOutputAndState,Mutation score CO_Mutant OracleOutputAndState,Number of killed CO_Mutant OracleW,Mutation score CO_Mutant OracleW,Number of DO_Mutant,Number of killed DO_Mutant OracleOutput,Mutation score DO_Mutant OracleOutput,Number of killed DO_Mutant OracleState,Mutation score DO_Mutant OracleState,Number of killed DO_Mutant OracleOutputAndState,Mutation score DO_Mutant OracleOutputAndState,Number of killed DO_Mutant OracleW,Mutation score DO_Mutant OracleW,Number of IO_Mutant,Number of killed IO_Mutant OracleOutput,Mutation score IO_Mutant OracleOutput,Number of killed IO_Mutant OracleState,Mutation score IO_Mutant OracleState,Number of killed IO_Mutant OracleOutputAndState,Mutation score IO_Mutant OracleOutputAndState,Number of killed IO_Mutant OracleW,Mutation score IO_Mutant OracleW,Number of CSS_Mutant,Number of killed CSS_Mutant OracleOutput,Mutation score CSS_Mutant OracleOutput,Number of killed CSS_Mutant OracleState,Mutation score CSS_Mutant OracleState,Number of killed CSS_Mutant OracleOutputAndState,Mutation score CSS_Mutant OracleOutputAndState,Number of killed CSS_Mutant OracleW,Mutation score CSS_Mutant OracleW,Number of CES_Mutant,Number of killed CES_Mutant OracleOutput,Mutation score CES_Mutant OracleOutput,Number of killed CES_Mutant OracleState,Mutation score CES_Mutant OracleState,Number of killed CES_Mutant OracleOutputAndState,Mutation score CES_Mutant OracleOutputAndState,Number of killed CES_Mutant OracleW,Mutation score CES_Mutant OracleW,Number of RT_Mutant,Number of killed RT_Mutant OracleOutput,Mutation score RT_Mutant OracleOutput,Number of killed RT_Mutant OracleState,Mutation score RT_Mutant OracleState,Number of killed RT_Mutant OracleOutputAndState,Mutation score RT_Mutant OracleOutputAndState,Number of killed RT_Mutant OracleW,Mutation score RT_Mutant OracleW,Number of DT_Mutant,Number of killed DT_Mutant OracleOutput,Mutation score DT_Mutant OracleOutput,Number of killed DT_Mutant OracleState,Mutation score DT_Mutant OracleState,Number of killed DT_Mutant OracleOutputAndState,Mutation score DT_Mutant OracleOutputAndState,Number of killed DT_Mutant OracleW,Mutation score DT_Mutant OracleW,Number of IT_Mutant,Number of killed IT_Mutant OracleOutput,Mutation score IT_Mutant OracleOutput,Number of killed IT_Mutant OracleState,Mutation score IT_Mutant OracleState,Number of killed IT_Mutant OracleOutputAndState,Mutation score IT_Mutant OracleOutputAndState,Number of killed IT_Mutant OracleW,Mutation score IT_Mutant OracleW,Number of DS_Mutant,Number of killed DS_Mutant OracleOutput,Mutation score DS_Mutant OracleOutput,Number of killed DS_Mutant OracleState,Mutation score DS_Mutant OracleState,Number of killed DS_Mutant OracleOutputAndState,Mutation score DS_Mutant OracleOutputAndState,Number of killed DS_Mutant OracleW,Mutation score DS_Mutant OracleW,Number of IDSS_Mutant,Number of killed IDSS_Mutant OracleOutput,Mutation score IDSS_Mutant OracleOutput,Number of killed IDSS_Mutant OracleState,Mutation score IDSS_Mutant OracleState,Number of killed IDSS_Mutant OracleOutputAndState,Mutation score IDSS_Mutant OracleOutputAndState,Number of killed IDSS_Mutant OracleW,Mutation score IDSS_Mutant OracleW,Number of IDES_Mutant,Number of killed IDES_Mutant OracleOutput,Mutation score IDES_Mutant OracleOutput,Number of killed IDES_Mutant OracleState,Mutation score IDES_Mutant OracleState,Number of killed IDES_Mutant OracleOutputAndState,Mutation score IDES_Mutant OracleOutputAndState,Number of killed IDES_Mutant OracleW,Mutation score IDES_Mutant OracleW
2,2,2,3762,84,0.022328548,91,0.024189262,102,0.027113238,483,0.12838915,9,8,0.8888889,7,0.7777778,9,1,9,1,576,22,0.038194444,22,0.038194444,22,0.038194444,100,0.1736111,64,4,0.0625,4,0.0625,4,0.0625,14,0.21875,0,0,NaN,0,NaN,0,NaN,0,NaN,192,6,0.03125,0,0,6,0.03125,36,0.1875,64,2,0.03125,0,0,2,0.03125,12,0.1875,0,0,NaN,0,NaN,0,NaN,0,NaN,576,27,0.046875,29,0.050347224,30,0.052083332,162,0.28125,576,7,0.012152778,18,0.03125,18,0.03125,27,0.046875,64,3,0.046875,3,0.046875,3,0.046875,21,0.328125,64,2,0.03125,2,0.03125,2,0.03125,12,0.1875,1440,0,0,0,0,0,0,80,0.055555556,9,2,0.22222222,2,0.22222222,2,0.22222222,7,0.7777778,64,1,0.015625,2,0.03125,2,0.03125,3,0.046875,64,0,0,2,0.03125,2,0.03125,0,0
2,2,2,3762,87,0.023125997,105,0.027910685,113,0.030037215,430,0.11430091,9,9,1,9,1,9,1,9,1,576,24,0.041666668,28,0.048611112,28,0.048611112,78,0.13541667,64,8,0.125,10,0.15625,10,0.15625,18,0.28125,0,0,NaN,0,NaN,0,NaN,0,NaN,192,6,0.03125,0,0,6,0.03125,30,0.15625,64,2,0.03125,0,0,2,0.03125,10,0.15625,0,0,NaN,0,NaN,0,NaN,0,NaN,576,25,0.043402776,29,0.050347224,29,0.050347224,146,0.2534722,576,5,0.008680556,18,0.03125,18,0.03125,27,0.046875,64,3,0.046875,3,0.046875,3,0.046875,15,0.234375,64,2,0.03125,2,0.03125,2,0.03125,10,0.15625,1440,0,0,0,0,0,0,80,0.055555556,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,64,1,0.015625,2,0.03125,2,0.03125,2,0.03125,64,0,0,2,0.03125,2,0.03125,0,0
2,2,2,3762,93,0.024720892,105,0.027910685,113,0.030037215,455,0.1209463,9,9,1,9,1,9,1,9,1,576,24,0.041666668,28,0.048611112,28,0.048611112,58,0.10069445,64,8,0.125,10,0.15625,10,0.15625,11,0.171875,0,0,NaN,0,NaN,0,NaN,0,NaN,192,6,0.03125,0,0,6,0.03125,18,0.09375,64,2,0.03125,0,0,2,0.03125,6,0.09375,0,0,NaN,0,NaN,0,NaN,0,NaN,576,28,0.048611112,29,0.050347224,29,0.050347224,113,0.19618055,576,8,0.013888889,18,0.03125,18,0.03125,18,0.03125,64,4,0.0625,4,0.0625,4,0.0625,11,0.171875,64,2,0.03125,2,0.03125,2,0.03125,6,0.09375,1440,0,0,0,0,0,0,200,0.1388889,9,1,0.11111111,1,0.11111111,1,0.11111111,3,0.33333334,64,1,0.015625,2,0.03125,2,0.03125,2,0.03125,64,0,0,2,0.03125,2,0.03125,0,0
3,3,3,3762,139,0.03694843,147,0.03907496,162,0.043062203,689,0.18314727,9,9,1,9,1,9,1,9,1,576,42,0.072916664,42,0.072916664,44,0.07638889,81,0.140625,64,16,0.25,16,0.25,17,0.265625,26,0.40625,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,18,0.09375,64,3,0.046875,0,0,3,0.046875,6,0.09375,0,0,NaN,0,NaN,0,NaN,0,NaN,576,34,0.059027776,37,0.06423611,37,0.06423611,129,0.22395833,576,14,0.024305556,27,0.046875,27,0.046875,33,0.057291668,64,4,0.0625,4,0.0625,4,0.0625,12,0.1875,64,3,0.046875,3,0.046875,3,0.046875,6,0.09375,1440,0,0,0,0,0,0,360,0.25,9,3,0.33333334,3,0.33333334,3,0.33333334,5,0.5555556,64,2,0.03125,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,143,0.038011696,148,0.039340775,160,0.04253057,528,0.14035088,9,9,1,9,1,9,1,9,1,576,42,0.072916664,44,0.07638889,44,0.07638889,85,0.14756945,64,16,0.25,17,0.265625,17,0.265625,22,0.34375,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,24,0.125,64,3,0.046875,0,0,3,0.046875,8,0.125,0,0,NaN,0,NaN,0,NaN,0,NaN,576,35,0.060763888,35,0.060763888,35,0.060763888,126,0.21875,576,17,0.029513888,27,0.046875,27,0.046875,26,0.045138888,64,4,0.0625,4,0.0625,4,0.0625,13,0.203125,64,3,0.046875,3,0.046875,3,0.046875,8,0.125,1440,0,0,0,0,0,0,200,0.1388889,9,3,0.33333334,3,0.33333334,3,0.33333334,4,0.44444445,64,2,0.03125,3,0.046875,3,0.046875,3,0.046875,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,149,0.039606594,148,0.039340775,165,0.04385965,690,0.18341307,9,9,1,9,1,9,1,9,1,576,44,0.07638889,42,0.072916664,44,0.07638889,81,0.140625,64,17,0.265625,16,0.25,17,0.265625,26,0.40625,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,18,0.09375,64,3,0.046875,0,0,3,0.046875,6,0.09375,0,0,NaN,0,NaN,0,NaN,0,NaN,576,38,0.065972224,37,0.06423611,39,0.067708336,129,0.22395833,576,16,0.027777778,27,0.046875,27,0.046875,33,0.057291668,64,5,0.078125,5,0.078125,5,0.078125,13,0.203125,64,3,0.046875,3,0.046875,3,0.046875,6,0.09375,1440,0,0,0,0,0,0,360,0.25,9,3,0.33333334,3,0.33333334,3,0.33333334,5,0.5555556,64,2,0.03125,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,140,0.03721425,134,0.035619352,161,0.042796385,436,0.1158958,9,9,1,9,1,9,1,9,1,576,40,0.06944445,40,0.06944445,42,0.072916664,92,0.15972222,64,15,0.234375,16,0.25,16,0.25,18,0.28125,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,30,0.15625,64,3,0.046875,0,0,3,0.046875,10,0.15625,0,0,NaN,0,NaN,0,NaN,0,NaN,576,36,0.0625,27,0.046875,38,0.065972224,137,0.23784722,576,15,0.026041666,27,0.046875,27,0.046875,26,0.045138888,64,6,0.09375,5,0.078125,6,0.09375,17,0.265625,64,3,0.046875,2,0.03125,3,0.046875,10,0.15625,1440,0,0,0,0,0,0,80,0.055555556,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,64,2,0.03125,3,0.046875,3,0.046875,2,0.03125,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,145,0.03854333,135,0.035885166,162,0.043062203,434,0.11536417,9,9,1,9,1,9,1,9,1,576,40,0.06944445,40,0.06944445,42,0.072916664,92,0.15972222,64,15,0.234375,16,0.25,16,0.25,18,0.28125,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,30,0.15625,64,3,0.046875,0,0,3,0.046875,10,0.15625,0,0,NaN,0,NaN,0,NaN,0,NaN,576,39,0.067708336,28,0.048611112,39,0.067708336,135,0.234375,576,17,0.029513888,27,0.046875,27,0.046875,26,0.045138888,64,6,0.09375,5,0.078125,6,0.09375,17,0.265625,64,3,0.046875,2,0.03125,3,0.046875,10,0.15625,1440,0,0,0,0,0,0,80,0.055555556,9,2,0.22222222,2,0.22222222,2,0.22222222,5,0.5555556,64,2,0.03125,3,0.046875,3,0.046875,2,0.03125,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,140,0.03721425,149,0.039606594,161,0.042796385,626,0.16640085,9,9,1,9,1,9,1,9,1,576,42,0.072916664,44,0.07638889,44,0.07638889,102,0.17708333,64,16,0.25,17,0.265625,17,0.265625,27,0.421875,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,27,0.140625,64,3,0.046875,0,0,3,0.046875,9,0.140625,0,0,NaN,0,NaN,0,NaN,0,NaN,576,34,0.059027776,36,0.0625,36,0.0625,145,0.2517361,576,15,0.026041666,27,0.046875,27,0.046875,35,0.060763888,64,4,0.0625,4,0.0625,4,0.0625,13,0.203125,64,3,0.046875,3,0.046875,3,0.046875,9,0.140625,1440,0,0,0,0,0,0,240,0.16666667,9,3,0.33333334,3,0.33333334,3,0.33333334,6,0.6666667,64,2,0.03125,3,0.046875,3,0.046875,4,0.0625,64,0,0,3,0.046875,3,0.046875,0,0
3,3,3,3762,137,0.0364168,153,0.040669855,165,0.04385965,456,0.121212125,9,9,1,9,1,9,1,9,1,576,40,0.06944445,44,0.07638889,44,0.07638889,80,0.1388889,64,15,0.234375,17,0.265625,17,0.265625,18,0.28125,0,0,NaN,0,NaN,0,NaN,0,NaN,192,9,0.046875,0,0,9,0.046875,27,0.140625,64,3,0.046875,0,0,3,0.046875,9,0.140625,0,0,NaN,0,NaN,0,NaN,0,NaN,576,36,0.0625,39,0.067708336,39,0.067708336,135,0.234375,576,13,0.022569444,27,0.046875,27,0.046875,26,0.045138888,64,5,0.078125,6,0.09375,6,0.09375,14,0.21875,64,3,0.046875,3,0.046875,3,0.046875,9,0.140625,1440,0,0,0,0,0,0,120,0.083333336,9,2,0.22222222,2,0.22222222,2,0.22222222,6,0.6666667,64,2,0.03125,3,0.046875,3,0.046875,3,0.046875,64,0,0,3,0.046875,3,0.046875,0,0
